Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","1uF","C_0603_1608Metric",13.2080,4.1910,90.0000,bottom
"C3","10uF","C_0805_2012Metric",7.2390,4.0894,-90.0000,bottom
"C4","100nF","C_0603_1608Metric",8.5598,6.7818,0.0000,bottom
"C5","100nF","C_0603_1608Metric",24.6583,7.5000,90.0000,bottom
"D1","BZX585-B5V6.115","D_SOD-523",9.0710,9.7750,90.0000,bottom
"D2","LED GREEN","LED_1206_mill",8.5000,13.0000,0.0000,bottom
"J1","SM04B-GHS-TB","JST_GH_SM04B-GHS-TB_1x04-1MP_P1.25mm_Horizontal",2.9972,7.5000,90.0000,bottom
"J2","SM04B-GHS-TB","JST_GH_SM04B-GHS-TB_1x04-1MP_P1.25mm_Horizontal",2.9972,7.5000,-90.0000,top
"M1","M3","dira_3mm",22.5000,15.0000,0.0000,top
"M2","M3","dira_3mm",12.5000,0.0000,0.0000,top
"M3","M3","dira_3mm",2.5000,0.0000,0.0000,top
"M4","M3","dira_3mm",12.5000,15.0000,0.0000,top
"M5","M3","dira_3mm",22.5000,0.0000,0.0000,top
"M6","M3","dira_3mm",2.5000,15.0000,0.0000,top
"R1","1k","R_0603_1608Metric",7.4210,9.9314,90.0000,bottom
"R3","10k","R_0603_1608Metric",13.1064,7.6454,90.0000,bottom
"R10","10k","R_0603_1608Metric",11.5316,7.6454,90.0000,bottom
"U2","SHT4x","Sensirion_DFN-4_1.5x1.5mm_P0.8mm_SHT4x_NoCentralPad",26.7462,7.5000,180.0000,bottom
"U3","MIC5504-3.3YM5","SOT-23-5",10.3378,4.0640,0.0000,bottom
